,Article,Continent,continent_llama
0,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,Europe, europe
1,%C3%85land,Europe, europe
2,%C3%89douard_Manet,Europe, europe
3,%C3%89ire,Europe, europe
4,%C3%93engus_I_of_the_Picts,Europe, europe
5,%E2%82%AC2_commemorative_coins,Europe, europe
6,10th_century,Europe, europe
7,11th_century,Europe, europe
8,12th_century,Europe, europe
9,13th_century,Europe, europe
10,14th_century,Europe, europe
11,15th_Marine_Expeditionary_Unit,North_America, europe
12,15th_century,Europe, europe
13,16_Cygni,International, europe
14,16_Cygni_Bb,International, north
15,16th_century,Europe, europe
16,1755_Lisbon_earthquake,Europe, ant
17,17th_century,Europe, ant
18,1896_Summer_Olympics,Europe, south
19,18th_century,Europe, europe
20,1928_Okeechobee_Hurricane,North_America, asia
21,1973_oil_crisis,International, europe
22,1980_eruption_of_Mount_St._Helens,North_America, europe
23,1997_Pacific_hurricane_season,Oceania, north
24,19th_century,Europe, middle
25,1_Ceres,International, north
26,1st_century,Europe, north
27,1st_century_BC,Europe, europe
28,2-6-0,International, out
29,2-8-0,International, ant
30,2003_Atlantic_hurricane_season,North_America, asia
31,2004_Atlantic_hurricane_season,North_America, north
32,2004_Indian_Ocean_earthquake,International, north
33,2005_Atlantic_hurricane_season,North_America, north
34,2005_Hertfordshire_Oil_Storage_Terminal_fire,Europe, north
35,2005_Kashmir_earthquake,Asia, asia
36,2005_Lake_Tanganyika_earthquake,Africa, north
37,2005_Sumatra_earthquake,Asia, asia
38,20th_century,International, asia
39,21st_century,International, africa
40,2nd_century,Europe, asia
41,3_Juno,International, asia
42,3rd_century,Europe, north
43,4-2-0,International, europe
44,4-4-0,International, ant
45,4-6-0,International, africa
46,47_Ursae_Majoris,International, asia
47,47_Ursae_Majoris_b,International, north
48,47_Ursae_Majoris_c,International, north
49,4_Vesta,International, ant
50,4th_century,Europe, ant
51,55_Cancri,International, ant
52,55_Cancri_b,International, ant
53,55_Cancri_c,International, ant
54,55_Cancri_d,International, ant
55,55_Cancri_e,International, ant
56,5th_century,Europe, ant
57,6-2-0,International, ant
58,6th_century,Europe, ant
59,7th_century,Europe, europe
60,8th_century,Europe, asia
61,90377_Sedna,International, ant
62,9th_century,Europe, asia
63,A._E._J._Collins,International, africa
64,ABO_blood_group_system,International, ant
65,AC_DC,International, europe
66,AIDS,International, europe
67,AK-47,International, asia
68,ALCO_FA,International, australia
69,ASCII,International, africa
70,AT%26T,International, asia
71,ATLAS_experiment,International, north
72,A_Christmas_Carol,Europe, asia
73,A_Tale_of_a_Tub,Europe, north
74,A_Wrinkle_in_Time,North_America, europe
75,A_cappella,International, europe
76,Aachen,Europe, europe
77,Aardvark,Africa, north
78,Aarhus,Europe, north
79,Abac%C3%A1,Asia, europe
80,Abacus,Asia, africa
81,Abadan,Middle_East, europe
82,Abbadid,Africa, asia
83,Abbas_I_of_Persia,Middle_East, asia
84,Abbasid,Middle_East, asia
85,Abbey,Europe, asia
86,Abbey_Theatre,Europe, africa
87,Abbot,Europe, asia
88,Abel_Tasman,Oceania, asia
89,Aberdeen,Europe, europe
90,Aberration_of_light,International, europe
91,Aberystwyth,Europe, europe
92,Abhidhamma_Pitaka,Asia, ant
93,Abidjan,Africa, ant
94,Abkhazia,Europe, australia
95,Able_Archer_83,Europe, europe
96,Abraham_Goldfaden,Europe, ant
97,Abraham_Lincoln,North_America, europe
98,Absinthe,Europe, asia
99,Absolute_zero,International, africa
100,Abstract_art,International, asia
101,Abu_Dhabi,Middle_East, asia
102,Abuja,Africa, europe
