Articles	Categories	continent
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in	subject.People.Historical_figures	 europe
%C3%85land	subject.Countries	 europe
%C3%85land	subject.Geography.European_Geography.European_Countries	 europe
%C3%89douard_Manet	subject.People.Artists	 europe
%C3%89ire	subject.Countries	 europe
%C3%89ire	subject.Geography.European_Geography.European_Countries	 europe
%C3%93engus_I_of_the_Picts	subject.History.British_History.British_History_1500_and_before_including_Roman_Britain	 europe
%C3%93engus_I_of_the_Picts	subject.People.Historical_figures	 europe
%E2%82%AC2_commemorative_coins	subject.Business_Studies.Currency	 europe
10th_century	subject.History.General_history	 europe
11th_century	subject.History.General_history	 europe
12th_century	subject.History.General_history	 europe
13th_century	subject.History.General_history	 europe
14th_century	subject.History.General_history	 europe
15th_Marine_Expeditionary_Unit	subject.History.Military_History_and_War	 north
15th_century	subject.History.General_history	 europe
16_Cygni	subject.Science.Physics.Space_Astronomy	 ant
16_Cygni_Bb	subject.Science.Physics.Space_Astronomy	 ant
16th_century	subject.History.General_history	 south
1755_Lisbon_earthquake	subject.History.General_history	 europe
17th_century	subject.History.General_history	 asia
1896_Summer_Olympics	subject.Everyday_life.Sports_events	 europe
18th_century	subject.History.General_history	 europe
1928_Okeechobee_Hurricane	subject.Geography.Storms	 north
1973_oil_crisis	subject.History.Recent_History	 middle
1980_eruption_of_Mount_St._Helens	subject.Geography.Geology_and_geophysics	 north
1997_Pacific_hurricane_season	subject.Geography.Natural_Disasters	 north
19th_century	subject.History.General_history	 europe
1_Ceres	subject.Science.Physics.Space_Astronomy	 out
1st_century	subject.History.General_history	 ant
1st_century_BC	subject.History.General_history	 asia
2-6-0	subject.Design_and_Technology.Railway_transport	 north
2-8-0	subject.Design_and_Technology.Railway_transport	 north
2003_Atlantic_hurricane_season	subject.Geography.Natural_Disasters	 north
2004_Atlantic_hurricane_season	subject.Geography.Natural_Disasters	 north
2004_Indian_Ocean_earthquake	subject.Geography.Geology_and_geophysics	 asia
2005_Atlantic_hurricane_season	subject.Geography.Storms	 north
2005_Hertfordshire_Oil_Storage_Terminal_fire	subject.History.Recent_History	 asia
2005_Kashmir_earthquake	subject.Geography.Natural_Disasters	 asia
2005_Lake_Tanganyika_earthquake	subject.Geography.Natural_Disasters	 africa
2005_Sumatra_earthquake	subject.Geography.Natural_Disasters	 asia
20th_century	subject.History.General_history	 asia
21st_century	subject.History.General_history	 north
2nd_century	subject.History.General_history	 europe
3_Juno	subject.Science.Physics.Space_Astronomy	 ant
3rd_century	subject.History.General_history	 africa
4-2-0	subject.Design_and_Technology.Railway_transport	 asia
4-4-0	subject.Design_and_Technology.Railway_transport	 north
4-6-0	subject.Design_and_Technology.Railway_transport	 north
47_Ursae_Majoris	subject.Science.Physics.Space_Astronomy	 ant
47_Ursae_Majoris_b	subject.Science.Physics.Space_Astronomy	 ant
47_Ursae_Majoris_c	subject.Science.Physics.Space_Astronomy	 ant
4_Vesta	subject.Science.Physics.Space_Astronomy	 ant
4th_century	subject.History.General_history	 ant
55_Cancri	subject.Science.Physics.Space_Astronomy	 ant
55_Cancri_b	subject.Science.Physics.Space_Astronomy	 ant
55_Cancri_c	subject.Science.Physics.Space_Astronomy	 ant
55_Cancri_d	subject.Science.Physics.Space_Astronomy	 ant
55_Cancri_e	subject.Science.Physics.Space_Astronomy	 ant
5th_century	subject.History.General_history	 europe
6-2-0	subject.Design_and_Technology.Railway_transport	 asia
6th_century	subject.History.General_history	 ant
7th_century	subject.History.General_history	 asia
8th_century	subject.History.General_history	 africa
90377_Sedna	subject.Science.Physics.Space_Astronomy	 ant
9th_century	subject.History.General_history	 europe
A._E._J._Collins	subject.People.Sports_and_games_people	 europe
ABO_blood_group_system	subject.Science.Biology.Health_and_medicine	 asia
AC_DC	subject.Music.Performers_and_composers	 australia
AIDS	subject.Science.Biology.Health_and_medicine	 africa
AK-47	subject.History.Military_History_and_War	 asia
